State,school_year,n_counties,mean_mmr_rate
OK,2019-20,77,0.9278638287012987
OK,2020-21,77,0.9302168842857143
OK,2021-22,76,0.9175217102631579
OK,2022-23,77,0.8928688311688312
OK,2023-24,77,0.884322077922078
OK,2024-25,77,0.8739675324675324
OR,2017-18,36,0.9300660730555556
OR,2018-19,36,0.93935347
OR,2019-20,36,0.9380980127777778
OR,2020-21,35,0.9380685634285715
OR,2021-22,36,0.9206754386111111
OR,2022-23,36,0.9144934758333333
OR,2023-24,36,0.8976388888888889
OR,2024-25,36,0.8841944444444445
PA,2017-18,67,0.970803885522388
PA,2018-19,67,0.9669850746268657
PA,2019-20,67,0.9654776119402985
PA,2020-21,67,0.9592537313432835
PA,2021-22,67,0.9561343283582089
PA,2022-23,67,0.9420954304477612
PA,2023-24,67,0.9351646765671642
PA,2024-25,67,0.9323880597014925
RI,2018-19,5,0.9488
RI,2020-21,5,0.949
RI,2021-22,5,0.9526
RI,2022-23,5,0.9506
RI,2023-24,5,0.9514
RI,2024-25,5,0.9523999999999999
SC,2019-20,46,0.9734565217391304
SC,2020-21,46,0.9646304347826087
SC,2021-22,46,0.9644347826086956
SC,2022-23,46,0.9569565217391304
SC,2023-24,46,0.9519347826086957
SC,2024-25,46,0.950695652173913
SD,2017-18,65,0.9543076923076923
SD,2018-19,65,0.9516923076923077
SD,2019-20,65,0.9447692307692308
SD,2020-21,65,0.9238461538461539
SD,2021-22,65,0.914
SD,2022-23,65,0.9024615384615384
SD,2023-24,65,0.8696923076923077
SD,2024-25,65,0.8703076923076923
TN,2019-20,93,0.9705640167741936
TN,2020-21,70,0.9670714285714286
TN,2021-22,93,0.9603010752688171
TN,2022-23,93,0.9529677419354838
TN,2023-24,92,0.9467826086956521
TN,2024-25,93,0.9384408602150538
TX,2019-20,251,0.9695576589243028
TX,2020-21,252,0.959944023968254
TX,2021-22,251,0.9541599251792828
TX,2022-23,252,0.9469063385714286
TX,2023-24,250,0.93979906328
TX,2024-25,252,0.9397326746031746
UT,2018-19,23,0.9241485652173913
UT,2019-20,24,0.9166956666666667
UT,2020-21,23,0.9147937826086956
UT,2021-22,24,0.9081849320833333
UT,2022-23,24,0.8951352916666667
UT,2023-24,23,0.8807778560869566
UT,2024-25,22,0.8809736363636363
VA,2017-18,128,0.9477421874999999
VA,2018-19,131,0.9488778625954198
VA,2019-20,129,0.944984496124031
VA,2020-21,127,0.9308031496062992
VA,2021-22,127,0.9066141732283465
VA,2022-23,128,0.903125
VA,2023-24,127,0.9016062992125984
VA,2024-25,128,0.902703125
VT,2017-18,12,0.9341666666666667
VT,2018-19,12,0.9241666666666667
VT,2019-20,12,0.9358333333333333
VT,2020-21,12,0.9333333333333333
VT,2021-22,12,0.925
VT,2022-23,12,0.9216666666666666
VT,2023-24,12,0.9225
VT,2024-25,12,0.93
WA,2019-20,38,0.9317516671052631
WA,2020-21,39,0.9359429782051282
WA,2021-22,39,0.8981121358974359
WA,2022-23,39,0.884790048974359
WA,2023-24,39,0.890560078974359
WA,2024-25,39,0.8818205128205128
WI,2018-19,72,0.8770833333333333
WI,2019-20,72,0.8811111111111111
WI,2020-21,72,0.8606944444444444
WI,2021-22,72,0.8340277777777778
WI,2022-23,72,0.8180555555555555
WI,2023-24,72,0.8220833333333333
WI,2024-25,72,0.8115277777777777
